trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.1499321460723877	stim	0		200	9.041325330734253	1.6665728092193604
0	1.808467149734497	response	0	space		10.699860334396362	
1	1.816504955291748	stim	0		3528	10.707898139953613	29.399941205978394
1	31.213093042373657	pulse	0	t		40.10448622703552	
1	31.21644616127014	stim	1		72748	40.10783934593201	606.2303259372711
1	32.80830693244934	pulse	1	t		41.699700117111206	
1	34.40820598602295	pulse	1	t		43.299599170684814	
1	36.00824809074402	pulse	1	t		44.899641275405884	
1	37.60813808441162	pulse	1	t		46.499531269073486	
1	39.20820498466492	pulse	1	t		48.09959816932678	
1	40.8080940246582	pulse	1	t		49.69948720932007	
1	42.40814399719238	pulse	1	t		51.29953718185425	
1	44.008151054382324	pulse	1	t		52.89954423904419	
1	45.60804510116577	pulse	1	t		54.49943828582764	
1	47.20805215835571	pulse	1	t		56.09944534301758	
1	48.80824613571167	pulse	1	t		57.699639320373535	
1	50.408045053482056	pulse	1	t		59.29943823814392	
1	52.00820302963257	pulse	1	t		60.899596214294434	
1	53.608088970184326	pulse	1	t		62.49948215484619	
1	55.208022117614746	pulse	1	t		64.09941530227661	
1	56.80808997154236	pulse	1	t		65.69948315620422	
1	58.408082008361816	pulse	1	t		67.29947519302368	
1	60.00808906555176	pulse	1	t		68.89948225021362	
1	61.60808706283569	pulse	1	t		70.49948024749756	
1	63.208040952682495	pulse	1	t		72.09943413734436	
1	64.80796313285828	pulse	1	t		73.69935631752014	
1	66.40822100639343	pulse	1	t		75.2996141910553	
1	68.00797915458679	pulse	1	t		76.89937233924866	
1	69.60802602767944	pulse	1	t		78.49941921234131	
1	71.2080659866333	pulse	1	t		80.09945917129517	
1	72.80796813964844	pulse	1	t		81.6993613243103	
1	74.40796494483948	pulse	1	t		83.29935812950134	
1	76.00798892974854	pulse	1	t		84.8993821144104	
1	77.60808515548706	pulse	1	t		86.49947834014893	
1	79.20791411399841	pulse	1	t		88.09930729866028	
1	80.80804109573364	pulse	1	t		89.69943428039551	
1	82.40808606147766	pulse	1	t		91.29947924613953	
1	84.0082459449768	pulse	1	t		92.89963912963867	
1	85.60802507400513	pulse	1	t		94.49941825866699	
1	87.20794200897217	pulse	1	t		96.09933519363403	
1	88.80792903900146	pulse	1	t		97.69932222366333	
1	90.40786504745483	pulse	1	t		99.2992582321167	
1	92.00791311264038	pulse	1	t		100.89930629730225	
1	93.60794615745544	pulse	1	t		102.49933934211731	
1	95.20789194107056	pulse	1	t		104.09928512573242	
1	96.80795192718506	pulse	1	t		105.69934511184692	
1	98.40782499313354	pulse	1	t		107.29921817779541	
1	100.00787401199341	pulse	1	t		108.89926719665527	
1	101.60788798332214	pulse	1	t		110.49928116798401	
1	103.20785093307495	pulse	1	t		112.09924411773682	
1	104.80783915519714	pulse	1	t		113.69923233985901	
1	106.40785598754883	pulse	1	t		115.2992491722107	
1	108.00791907310486	pulse	1	t		116.89931225776672	
1	109.60785007476807	pulse	1	t		118.49924325942993	
1	111.20790195465088	pulse	1	t		120.09929513931274	
1	112.8078031539917	pulse	1	t		121.69919633865356	
1	114.40783500671387	pulse	1	t		123.29922819137573	
1	116.00772404670715	pulse	1	t		124.89911723136902	
1	117.6077971458435	pulse	1	t		126.49919033050537	
1	119.20768308639526	pulse	1	t		128.09907627105713	
1	120.80772113800049	pulse	1	t		129.69911432266235	
1	122.40771698951721	pulse	1	t		131.29911017417908	
1	124.00784802436829	pulse	1	t		132.89924120903015	
1	125.60789203643799	pulse	1	t		134.49928522109985	
1	127.20776915550232	pulse	1	t		136.09916234016418	
1	128.80765104293823	pulse	1	t		137.6990442276001	
1	130.4078860282898	pulse	1	t		139.29927921295166	
1	132.00767493247986	pulse	1	t		140.89906811714172	
1	133.60767602920532	pulse	1	t		142.4990692138672	
1	135.2077820301056	pulse	1	t		144.09917521476746	
1	136.80767607688904	pulse	1	t		145.6990692615509	
1	138.4078450202942	pulse	1	t		147.29923820495605	
1	140.00764894485474	pulse	1	t		148.8990421295166	
1	141.6076729297638	pulse	1	t		150.49906611442566	
1	143.2077281475067	pulse	1	t		152.09912133216858	
1	144.8075749874115	pulse	1	t		153.69896817207336	
1	146.40769815444946	pulse	1	t		155.29909133911133	
1	148.0076310634613	pulse	1	t		156.89902424812317	
1	149.60760712623596	pulse	1	t		158.49900031089783	
1	151.20757603645325	pulse	1	t		160.0989692211151	
1	152.80760192871094	pulse	1	t		161.6989951133728	
1	154.40760898590088	pulse	1	t		163.29900217056274	
1	156.0075490474701	pulse	1	t		164.89894223213196	
1	157.60762000083923	pulse	1	t		166.4990131855011	
1	159.207603931427	pulse	1	t		168.09899711608887	
1	160.807599067688	pulse	1	t		169.69899225234985	
1	162.40757513046265	pulse	1	t		171.2989683151245	
1	164.00758504867554	pulse	1	t		172.8989782333374	
1	165.60760498046875	pulse	1	t		174.49899816513062	
1	167.2075960636139	pulse	1	t		176.09898924827576	
1	168.8075430393219	pulse	1	t		177.69893622398376	
1	170.40749406814575	pulse	1	t		179.29888725280762	
1	172.0075740814209	pulse	1	t		180.89896726608276	
1	173.6075530052185	pulse	1	t		182.49894618988037	
1	175.20749711990356	pulse	1	t		184.09889030456543	
1	176.80753302574158	pulse	1	t		185.69892621040344	
1	178.40757203102112	pulse	1	t		187.29896521568298	
1	180.00762009620667	pulse	1	t		188.89901328086853	
1	181.60749101638794	pulse	1	t		190.4988842010498	
1	183.20752596855164	pulse	1	t		192.0989191532135	
1	184.8075339794159	pulse	1	t		193.69892716407776	
1	186.4074330329895	pulse	1	t		195.29882621765137	
1	188.00740694999695	pulse	1	t		196.8988001346588	
1	189.6075530052185	pulse	1	t		198.49894618988037	
1	191.20750093460083	pulse	1	t		200.0988941192627	
1	192.80705308914185	pulse	1	t		201.6984462738037	
1	194.40724515914917	pulse	1	t		203.29863834381104	
1	196.00733613967896	pulse	1	t		204.89872932434082	
1	197.60736894607544	pulse	1	t		206.4987621307373	
1	199.2073769569397	pulse	1	t		208.09877014160156	
1	200.80728912353516	pulse	1	t		209.69868230819702	
1	202.4073770046234	pulse	1	t		211.29877018928528	
1	204.00732493400574	pulse	1	t		212.8987181186676	
1	205.6073980331421	pulse	1	t		214.49879121780396	
1	207.20724201202393	pulse	1	t		216.0986351966858	
1	208.80731296539307	pulse	1	t		217.69870615005493	
1	210.4073760509491	pulse	1	t		219.29876923561096	
1	212.00749492645264	pulse	1	t		220.8988881111145	
1	213.60739707946777	pulse	1	t		222.49879026412964	
1	215.2074270248413	pulse	1	t		224.09882020950317	
1	216.807373046875	pulse	1	t		225.69876623153687	
1	218.4073131084442	pulse	1	t		227.29870629310608	
1	220.00730204582214	pulse	1	t		228.898695230484	
1	221.6079421043396	pulse	1	t		230.49933528900146	
1	223.20726203918457	pulse	1	t		232.09865522384644	
1	224.80735301971436	pulse	1	t		233.69874620437622	
1	226.40728306770325	pulse	1	t		235.2986762523651	
1	228.00731301307678	pulse	1	t		236.89870619773865	
1	229.60731315612793	pulse	1	t		238.4987063407898	
1	231.20728206634521	pulse	1	t		240.09867525100708	
1	232.80737400054932	pulse	1	t		241.69876718521118	
1	234.40724205970764	pulse	1	t		243.2986352443695	
1	236.00789594650269	pulse	1	t		244.89928913116455	
1	237.60791492462158	pulse	1	t		246.49930810928345	
1	239.2072310447693	pulse	1	t		248.09862422943115	
1	240.8071939945221	pulse	1	t		249.69858717918396	
1	242.40729308128357	pulse	1	t		251.29868626594543	
1	244.00717902183533	pulse	1	t		252.8985722064972	
1	245.6072380542755	pulse	1	t		254.49863123893738	
1	247.20728993415833	pulse	1	t		256.0986831188202	
1	248.80672407150269	pulse	1	t		257.69811725616455	
1	250.4069139957428	pulse	1	t		259.29830718040466	
1	252.00729894638062	pulse	1	t		260.8986921310425	
1	253.60788202285767	pulse	1	t		262.49927520751953	
1	255.20771503448486	pulse	1	t		264.09910821914673	
1	256.8077690601349	pulse	1	t		265.69916224479675	
1	258.4071321487427	pulse	1	t		267.29852533340454	
1	260.0070559978485	pulse	1	t		268.8984491825104	
1	261.6071319580078	pulse	1	t		270.4985251426697	
1	263.2071051597595	pulse	1	t		272.0984983444214	
1	264.8070650100708	pulse	1	t		273.69845819473267	
1	266.40703415870667	pulse	1	t		275.29842734336853	
1	268.0077271461487	pulse	1	t		276.89912033081055	
1	269.6078860759735	pulse	1	t		278.4992792606354	
1	271.20779299736023	pulse	1	t		280.0991861820221	
1	272.8077139854431	pulse	1	t		281.699107170105	
1	274.4077401161194	pulse	1	t		283.29913330078125	
1	276.0070700645447	pulse	1	t		284.89846324920654	
1	277.6070990562439	pulse	1	t		286.49849224090576	
1	279.2070541381836	pulse	1	t		288.09844732284546	
1	280.8068799972534	pulse	1	t		289.6982731819153	
1	282.4070029258728	pulse	1	t		291.29839611053467	
1	284.0078010559082	pulse	1	t		292.89919424057007	
1	285.6077690124512	pulse	1	t		294.49916219711304	
1	287.20772194862366	pulse	1	t		296.0991151332855	
1	288.80770206451416	pulse	1	t		297.699095249176	
1	290.4077179431915	pulse	1	t		299.2991111278534	
1	292.0070550441742	pulse	1	t		300.89844822883606	
1	293.60695004463196	pulse	1	t		302.4983432292938	
1	295.2069170475006	pulse	1	t		304.0983102321625	
1	296.8069989681244	pulse	1	t		305.69839215278625	
1	298.40691900253296	pulse	1	t		307.2983121871948	
1	300.007581949234	pulse	1	t		308.8989751338959	
1	301.60753893852234	pulse	1	t		310.4989321231842	
1	303.2076759338379	pulse	1	t		312.09906911849976	
1	304.80720496177673	pulse	1	t		313.6985981464386	
1	306.4073281288147	pulse	1	t		315.29872131347656	
1	308.0074989795685	pulse	1	t		316.89889216423035	
1	309.60750007629395	pulse	1	t		318.4988932609558	
1	311.2069511413574	pulse	1	t		320.0983443260193	
1	312.80687499046326	pulse	1	t		321.6982681751251	
1	314.4068651199341	pulse	1	t		323.29825830459595	
1	316.0076241493225	pulse	1	t		324.8990173339844	
1	317.6075670719147	pulse	1	t		326.49896025657654	
1	319.2075560092926	pulse	1	t		328.09894919395447	
1	320.80750608444214	pulse	1	t		329.698899269104	
1	322.4074981212616	pulse	1	t		331.29889130592346	
1	324.0075340270996	pulse	1	t		332.8989272117615	
1	325.60746598243713	pulse	1	t		334.498859167099	
1	327.20682096481323	pulse	1	t		336.0982141494751	
1	328.8068001270294	pulse	1	t		337.6981933116913	
1	330.4075529575348	pulse	1	t		339.29894614219666	
1	332.0067059993744	pulse	1	t		340.89809918403625	
1	333.61509895324707	pulse	1	t		342.50649213790894	
1	335.2150340080261	pulse	1	t		344.106427192688	
1	336.807382106781	pulse	1	t		345.69877529144287	
1	338.40745306015015	pulse	1	t		347.298846244812	
1	340.0074360370636	pulse	1	t		348.89882922172546	
1	341.60746908187866	pulse	1	t		350.4988622665405	
1	343.2074840068817	pulse	1	t		352.0988771915436	
1	344.8073971271515	pulse	1	t		353.69879031181335	
1	346.40739703178406	pulse	1	t		355.2987902164459	
1	348.0066740512848	pulse	1	t		356.89806723594666	
1	349.6150109767914	pulse	1	t		358.50640416145325	
1	351.2074999809265	pulse	1	t		360.0988931655884	
1	352.8150041103363	pulse	1	t		361.70639729499817	
1	354.40741515159607	pulse	1	t		363.29880833625793	
1	356.00737714767456	pulse	1	t		364.8987703323364	
1	357.6076109409332	pulse	1	t		366.4990041255951	
1	359.20738410949707	pulse	1	t		368.09877729415894	
